================================================================================
Video Threshold Calibration Results
Generated: 2025-12-03 11:19:33
Duration: 45m 17.9s
================================================================================

Calibration criteria (threshold = 90%):
  - 2,4,6,8,10% modification: should MATCH (≤10%)
  - 12,14,16,18,20% modification: should NOT MATCH (>10%)

Note: Both video and audio now use Hamming distance (0-256 bits).
  - Video: PDQ 256-bit perceptual hash
  - Audio: Chromaprint converted to 256-bit binary

Test categories:
  VIDEO SPATIAL (video frames only, audio unchanged):
    - Crop (right/left/top/bottom): pct% cut off from each side
    - Resize: scale = 100 - pct
    - Grayscale: always should match
    - No audio: always should match (video still matches)

  TEMPORAL (affects both video and audio):
    - Trim start: pct% removed from beginning
    - Trim end: pct% removed from end
    - Trim middle: pct% removed from center

  QUALITY (affects both video and audio bitrate):
    - Quality: bitrate reduced by pct%

  SPEED (affects both video and audio):
    - Speed down: factor = 1 - pct/100
    - Speed up: factor = 1 + pct/100

  AUDIO-ONLY (video unchanged):
    - Noise: pct% noise mixed in
    - Volume down: factor = 1 - pct/100
    - Volume up: factor = 1 + pct/100
    - Mono: always should match


================================================================================
ALL THRESHOLD COMBINATIONS
================================================================================

V-Hamming    | A-Hamming    | Correct    | Rate      
--------------------------------------------------
28           | 60           | 74/145     | 51%

================================================================================
BEST: video_hamming_distance=28, audio_hamming_distance=60
================================================================================

Base video item_id: 59d749e7452c3243c75ffaccc7559e4a8bc93a71f40dc884a4121ff2ddd3d1ef

Calibration                                        | Pass   | Video    | Audio    | Trans    | V-Ham    | A-Ham    | Status       | Item ID       
------------------------------------------------------------------------------------------------------------------------------------------------------
Exact match (should match)                         | ✓      | 100%     | 100%     | 100%     | 0        | 0        | exact_match  | 59d749e7452c...
Different video (should NOT match)                 | ✓      | -        | -        | -        | -        | -        | no_match     | -             
Crop right 2% (should match)                       | ✓      | 79%      | 100%     | 100%     | 6        | 0        | near_match   | 59d749e7452c...
Crop right 4% (should match)                       | ✓      | 64%      | 100%     | 100%     | 10       | 0        | near_match   | 59d749e7452c...
Crop right 6% (should match)                       | ✓      | 79%      | 100%     | 100%     | 6        | 0        | near_match   | 59d749e7452c...
Crop right 8% (should match)                       | ✓      | 50%      | 100%     | 100%     | 14       | 0        | near_match   | 59d749e7452c...
Crop right 10% (should match)                      | ✓      | 36%      | 100%     | 89%      | 18       | 0        | near_match   | 59d749e7452c...
Crop right 12% (should NOT match)                  | ✗      | -        | 100%     | 100%     | -        | 0        | exact_match  | 59d749e7452c...
Crop right 14% (should NOT match)                  | ✗      | -        | 100%     | 89%      | -        | 0        | near_match   | 59d749e7452c...
Crop right 16% (should NOT match)                  | ✗      | -        | 100%     | 89%      | -        | 0        | near_match   | 59d749e7452c...
Crop right 18% (should NOT match)                  | ✗      | -        | 100%     | 100%     | -        | 0        | exact_match  | 59d749e7452c...
Crop right 20% (should NOT match)                  | ✗      | -        | 100%     | 89%      | -        | 0        | near_match   | 59d749e7452c...
Crop left 2% (should match)                        | ✓      | 93%      | 100%     | 100%     | 2        | 0        | near_match   | 59d749e7452c...
Crop left 4% (should match)                        | ✓      | 64%      | 100%     | 100%     | 10       | 0        | near_match   | 59d749e7452c...
Crop left 6% (should match)                        | ✓      | 79%      | 100%     | 100%     | 6        | 0        | near_match   | 59d749e7452c...
Crop left 8% (should match)                        | ✓      | 43%      | 100%     | 100%     | 16       | 0        | near_match   | 59d749e7452c...
Crop left 10% (should match)                       | ✓      | 21%      | 100%     | 89%      | 22       | 0        | near_match   | 59d749e7452c...
