================================================================================
Video Threshold Calibration Results
Generated: 2025-12-03 11:19:33
Duration: 45m 17.9s
================================================================================

Calibration criteria (threshold = 90%):
  - 2,4,6,8,10% modification: should MATCH (≤10%)
  - 12,14,16,18,20% modification: should NOT MATCH (>10%)

Note: Both video and audio now use Hamming distance (0-256 bits).
  - Video: PDQ 256-bit perceptual hash
  - Audio: Chromaprint converted to 256-bit binary

Test categories:
  VIDEO SPATIAL (video frames only, audio unchanged):
    - Crop (right/left/top/bottom): pct% cut off from each side
    - Resize: scale = 100 - pct
    - Grayscale: always should match
    - No audio: always should match (video still matches)

  TEMPORAL (affects both video and audio):
    - Trim start: pct% removed from beginning
    - Trim end: pct% removed from end
    - Trim middle: pct% removed from center

  QUALITY (affects both video and audio bitrate):
    - Quality: bitrate reduced by pct%

  SPEED (affects both video and audio):
    - Speed down: factor = 1 - pct/100
    - Speed up: factor = 1 + pct/100

  AUDIO-ONLY (video unchanged):
    - Noise: pct% noise mixed in
    - Volume down: factor = 1 - pct/100
    - Volume up: factor = 1 + pct/100
    - Mono: always should match


================================================================================
ALL THRESHOLD COMBINATIONS
================================================================================

V-Hamming    | A-Hamming    | Correct    | Rate      
--------------------------------------------------
28           | 60           | 74/145     | 51%

================================================================================
BEST: video_hamming_distance=28, audio_hamming_distance=60
================================================================================

Base video item_id: 59d749e7452c3243c75ffaccc7559e4a8bc93a71f40dc884a4121ff2ddd3d1ef

Calibration                                        | Pass   | Video    | Audio    | Trans    | V-Ham    | A-Ham    | Status       | Item ID       
Crop left 12% (should NOT match)                   | ✗      | 0%       | 100%     | 89%      | 28       | 0        | near_match   | 59d749e7452c...
Crop left 14% (should NOT match)                   | ✗      | -        | 100%     | 100%     | -        | 0        | exact_match  | 59d749e7452c...
Crop left 16% (should NOT match)                   | ✗      | -        | 100%     | 100%     | -        | 0        | exact_match  | 59d749e7452c...
Crop left 18% (should NOT match)                   | ✗      | -        | 100%     | 100%     | -        | 0        | exact_match  | 59d749e7452c...
Crop left 20% (should NOT match)                   | ✗      | -        | 100%     | 100%     | -        | 0        | exact_match  | 59d749e7452c...
Crop top 2% (should match)                         | ✓      | 50%      | 100%     | 89%      | 14       | 0        | near_match   | 59d749e7452c...
Crop top 4% (should match)                         | ✓      | 50%      | 100%     | 89%      | 14       | 0        | near_match   | 59d749e7452c...
Crop top 6% (should match)                         | ✓      | 57%      | 100%     | 89%      | 12       | 0        | near_match   | 59d749e7452c...
Crop top 8% (should match)                         | ✓      | 43%      | 100%     | 100%     | 16       | 0        | near_match   | 59d749e7452c...
Crop top 10% (should match)                        | ✓      | 29%      | 100%     | 100%     | 20       | 0        | near_match   | 59d749e7452c...
Crop top 12% (should NOT match)                    | ✗      | 21%      | 100%     | 89%      | 22       | 0        | near_match   | 59d749e7452c...
Crop top 14% (should NOT match)                    | ✗      | 36%      | 100%     | 87%      | 18       | 0        | near_match   | 59d749e7452c...
Crop top 16% (should NOT match)                    | ✗      | 29%      | 100%     | 100%     | 20       | 0        | near_match   | 59d749e7452c...
Crop top 18% (should NOT match)                    | ✗      | 21%      | 100%     | 100%     | 22       | 0        | near_match   | 59d749e7452c...
Crop top 20% (should NOT match)                    | ✗      | 29%      | 100%     | 100%     | 20       | 0        | near_match   | 59d749e7452c...
Crop bottom 2% (should match)                      | ✓      | 64%      | 100%     | 89%      | 10       | 0        | near_match   | 59d749e7452c...
Crop bottom 4% (should match)                      | ✓      | 36%      | 100%     | 100%     | 18       | 0        | near_match   | 59d749e7452c...
Crop bottom 6% (should match)                      | ✓      | 43%      | 100%     | 89%      | 16       | 0        | near_match   | 59d749e7452c...
Crop bottom 8% (should match)                      | ✓      | 29%      | 100%     | 100%     | 20       | 0        | near_match   | 59d749e7452c...
Crop bottom 10% (should match)                     | ✓      | 14%      | 100%     | 100%     | 24       | 0        | near_match   | 59d749e7452c...
Crop bottom 12% (should NOT match)                 | ✗      | 14%      | 100%     | 100%     | 24       | 0        | near_match   | 59d749e7452c...
Crop bottom 14% (should NOT match)                 | ✗      | -        | 100%     | 100%     | -        | 0        | exact_match  | 59d749e7452c...
Crop bottom 16% (should NOT match)                 | ✗      | -        | 100%     | 100%     | -        | 0        | exact_match  | 59d749e7452c...
Crop bottom 18% (should NOT match)                 | ✗      | -        | 100%     | 100%     | -        | 0        | exact_match  | 59d749e7452c...
Crop bottom 20% (should NOT match)                 | ✗      | -        | 100%     | 89%      | -        | 0        | near_match   | 59d749e7452c...
Grayscale (should match)                           | ✓      | 100%     | 100%     | 100%     | 0        | 0        | exact_match  | 59d749e7452c...
No audio (should match)                            | ✗      | -        | -        | -        | -        | -        | -            | -             
Resize 2% (should match)                           | ✓      | 100%     | 100%     | 100%     | 0        | 0        | exact_match  | 59d749e7452c...
Resize 4% (should match)                           | ✓      | 100%     | 100%     | 100%     | 0        | 0        | exact_match  | 59d749e7452c...
Resize 6% (should match)                           | ✓      | 100%     | 100%     | 89%      | 0        | 0        | near_match   | 59d749e7452c...
Resize 8% (should match)                           | ✓      | 100%     | 100%     | 89%      | 0        | 0        | near_match   | 59d749e7452c...
Resize 10% (should match)                          | ✓      | 100%     | 100%     | 89%      | 0        | 0        | near_match   | 59d749e7452c...
Resize 12% (should NOT match)                      | ✗      | 100%     | 100%     | 89%      | 0        | 0        | near_match   | 59d749e7452c...
Resize 14% (should NOT match)                      | ✗      | 100%     | 100%     | 89%      | 0        | 0        | near_match   | 59d749e7452c...
Resize 16% (should NOT match)                      | ✗      | 100%     | 100%     | 89%      | 0        | 0        | near_match   | 59d749e7452c...
Resize 18% (should NOT match)                      | ✗      | 100%     | 100%     | 100%     | 0        | 0        | exact_match  | 59d749e7452c...
Resize 20% (should NOT match)                      | ✗      | 100%     | 100%     | 87%      | 0        | 0        | near_match   | 59d749e7452c...
Trim start 2% (should match)                       | ✓      | 100%     | 85%      | 86%      | 0        | 9        | near_match   | d51b00da89be...
Trim start 4% (should match)                       | ✓      | 100%     | 77%      | -        | 0        | 14       | near_match   | b54eeb2056cb...
Trim start 6% (should match)                       | ✓      | 100%     | 90%      | 100%     | 0        | 6        | near_match   | 7a6f940c32d1...
Trim start 8% (should match)                       | ✓      | 100%     | 93%      | 100%     | 0        | 4        | near_match   | 73ce38a8eb28...
Trim start 10% (should match)                      | ✓      | 100%     | 78%      | -        | 0        | 13       | near_match   | 76094f1e0fa1...
Trim start 12% (should NOT match)                  | ✗      | 100%     | 82%      | -        | 0        | 11       | near_match   | 9a896cb1663f...
Trim start 14% (should NOT match)                  | ✗      | 100%     | 100%     | -        | 0        | 0        | exact_match  | 01aeb159aa3b...
Trim start 16% (should NOT match)                  | ✗      | 100%     | 87%      | -        | 0        | 8        | near_match   | f5b66912e248...
Trim start 18% (should NOT match)                  | ✗      | 100%     | 77%      | -        | 0        | 14       | near_match   | 7f6d5b686dcd...
Trim start 20% (should NOT match)                  | ✗      | 100%     | 90%      | -        | 0        | 6        | near_match   | 36683dd4130d...
Trim end 2% (should match)                         | ✓      | 100%     | 100%     | 100%     | 0        | 0        | exact_match  | 733b11aff5a5...
Trim end 4% (should match)                         | ✓      | 100%     | 100%     | 100%     | 0        | 0        | exact_match  | 124352133580...
Trim end 6% (should match)                         | ✓      | 100%     | 100%     | 87%      | 0        | 0        | near_match   | 1303940e9fd4...
Trim end 8% (should match)                         | ✓      | 100%     | 100%     | 100%     | 0        | 0        | exact_match  | 4c4a4c2ded84...
Trim end 10% (should match)                        | ✓      | 100%     | 100%     | 84%      | 0        | 0        | near_match   | efe19ddab65f...
Trim end 12% (should NOT match)                    | ✗      | 100%     | 100%     | 89%      | 0        | 0        | near_match   | 39286d96870e...
Trim end 14% (should NOT match)                    | ✗      | 100%     | 100%     | 100%     | 0        | 0        | exact_match  | 4cccceee6b1f...
Trim end 16% (should NOT match)                    | ✗      | 100%     | 100%     | 100%     | 0        | 0        | exact_match  | 0eb399a8e827...
Trim end 18% (should NOT match)                    | ✗      | 100%     | 100%     | 84%      | 0        | 0        | near_match   | 3e69f171d11c...
Trim end 20% (should NOT match)                    | ✗      | 100%     | 100%     | 100%     | 0        | 0        | exact_match  | ca63ba68315e...
Trim middle 2% (should match)                      | ✓      | 100%     | 97%      | 100%     | 0        | 2        | near_match   | d0a0baef3f15...
Trim middle 4% (should match)                      | ✓      | 100%     | 97%      | 100%     | 0        | 2        | near_match   | cb2d31544125...
Trim middle 6% (should match)                      | ✓      | 100%     | 97%      | 100%     | 0        | 2        | near_match   | 4a5d3e93c60d...
Trim middle 8% (should match)                      | ✓      | 100%     | 97%      | 93%      | 0        | 2        | near_match   | e2ee506047b1...
Trim middle 10% (should match)                     | ✓      | 100%     | 97%      | 89%      | 0        | 2        | near_match   | 50dbb338e13d...
Trim middle 12% (should NOT match)                 | ✗      | 100%     | 100%     | 100%     | 0        | 0        | exact_match  | ab36e99b9053...
Trim middle 14% (should NOT match)                 | ✗      | 100%     | 97%      | 87%      | 0        | 2        | near_match   | e5cfaa369459...
Trim middle 16% (should NOT match)                 | ✗      | 100%     | 97%      | 87%      | 0        | 2        | near_match   | ab4a4dc2a37e...
Trim middle 18% (should NOT match)                 | ✗      | 100%     | 97%      | 82%      | 0        | 2        | near_match   | ce2a946ce766...
Trim middle 20% (should NOT match)                 | ✗      | 100%     | 97%      | 100%     | 0        | 2        | near_match   | 8200e64775b6...
Quality -2% (should match)                         | ✓      | 100%     | 100%     | 89%      | 0        | 0        | near_match   | 59d749e7452c...
Quality -4% (should match)                         | ✓      | 100%     | 100%     | 95%      | 0        | 0        | near_match   | 59d749e7452c...
Quality -6% (should match)                         | ✓      | 100%     | 100%     | 95%      | 0        | 0        | near_match   | 59d749e7452c...
Quality -8% (should match)                         | ✓      | 100%     | 100%     | 91%      | 0        | 0        | near_match   | 59d749e7452c...
Quality -10% (should match)                        | ✓      | 100%     | 100%     | 91%      | 0        | 0        | near_match   | 59d749e7452c...
Quality -12% (should NOT match)                    | ✗      | 100%     | 100%     | 93%      | 0        | 0        | near_match   | 59d749e7452c...
Quality -14% (should NOT match)                    | ✗      | 100%     | 100%     | 96%      | 0        | 0        | near_match   | 59d749e7452c...
Quality -16% (should NOT match)                    | ✗      | 100%     | 100%     | 96%      | 0        | 0        | near_match   | 59d749e7452c...
Quality -18% (should NOT match)                    | ✗      | 100%     | 100%     | 78%      | 0        | 0        | near_match   | 59d749e7452c...
Quality -20% (should NOT match)                    | ✗      | 100%     | 100%     | 85%      | 0        | 0        | near_match   | 59d749e7452c...
Speed -2% (should match)                           | ✓      | 100%     | 98%      | 86%      | 0        | 1        | near_match   | 59d749e7452c...
Speed +2% (should match)                           | ✓      | 100%     | 100%     | 71%      | 0        | 0        | near_match   | 59d749e7452c...
Speed -4% (should match)                           | ✓      | 100%     | 98%      | 93%      | 0        | 1        | near_match   | 59d749e7452c...
Speed +4% (should match)                           | ✓      | 100%     | 98%      | 93%      | 0        | 1        | near_match   | 59d749e7452c...
Speed -6% (should match)                           | ✓      | 100%     | 98%      | 80%      | 0        | 1        | near_match   | 59d749e7452c...
Speed +6% (should match)                           | ✓      | 100%     | 97%      | 79%      | 0        | 2        | near_match   | 59d749e7452c...
Speed -8% (should match)                           | ✓      | 100%     | 95%      | 91%      | 0        | 3        | near_match   | 59d749e7452c...
Speed +8% (should match)                           | ✓      | 100%     | 97%      | 82%      | 0        | 2        | near_match   | 59d749e7452c...
Speed -10% (should match)                          | ✓      | 100%     | 92%      | 91%      | 0        | 5        | near_match   | 59d749e7452c...
Speed +10% (should match)                          | ✓      | 100%     | 97%      | 80%      | 0        | 2        | near_match   | 59d749e7452c...
Speed -12% (should NOT match)                      | ✗      | 100%     | 97%      | 91%      | 0        | 2        | near_match   | 59d749e7452c...
Speed +12% (should NOT match)                      | ✗      | 100%     | 93%      | 76%      | 0        | 4        | near_match   | 59d749e7452c...
Speed -14% (should NOT match)                      | ✗      | 100%     | 95%      | 91%      | 0        | 3        | near_match   | 59d749e7452c...
Speed +14% (should NOT match)                      | ✗      | 100%     | 92%      | 71%      | 0        | 5        | near_match   | 59d749e7452c...
Speed -16% (should NOT match)                      | ✗      | 100%     | 93%      | 84%      | 0        | 4        | near_match   | 59d749e7452c...
Speed +16% (should NOT match)                      | ✗      | 100%     | 90%      | 87%      | 0        | 6        | near_match   | 59d749e7452c...
Speed -18% (should NOT match)                      | ✗      | 100%     | 88%      | 92%      | 0        | 7        | near_match   | 59d749e7452c...
Speed +18% (should NOT match)                      | ✗      | 100%     | 90%      | -        | 0        | 6        | near_match   | 59d749e7452c...
Speed -20% (should NOT match)                      | ✗      | 100%     | 95%      | 88%      | 0        | 3        | near_match   | 59d749e7452c...
Speed +20% (should NOT match)                      | ✗      | 100%     | 90%      | 61%      | 0        | 6        | near_match   | 59d749e7452c...
Audio noise 2% (should match)                      | ✓      | 100%     | 100%     | 81%      | 0        | 0        | near_match   | 59d749e7452c...
Audio vol -2% (should match)                       | ✓      | 100%     | 100%     | 100%     | 0        | 0        | exact_match  | 59d749e7452c...
Audio vol +2% (should match)                       | ✓      | 100%     | 100%     | 100%     | 0        | 0        | exact_match  | 59d749e7452c...
Audio noise 4% (should match)                      | ✓      | 100%     | 100%     | 93%      | 0        | 0        | near_match   | 59d749e7452c...
Audio vol -4% (should match)                       | ✓      | 100%     | 100%     | 100%     | 0        | 0        | exact_match  | 59d749e7452c...
Audio vol +4% (should match)                       | ✓      | 100%     | 100%     | 87%      | 0        | 0        | near_match   | 59d749e7452c...
Audio noise 6% (should match)                      | ✓      | 100%     | 100%     | 93%      | 0        | 0        | near_match   | 59d749e7452c...
Audio vol -6% (should match)                       | ✓      | 100%     | 100%     | 80%      | 0        | 0        | near_match   | 59d749e7452c...
Audio vol +6% (should match)                       | ✓      | 100%     | 100%     | 100%     | 0        | 0        | exact_match  | 59d749e7452c...
Audio noise 8% (should match)                      | ✓      | 100%     | 100%     | 91%      | 0        | 0        | near_match   | 59d749e7452c...
Audio vol -8% (should match)                       | ✓      | 100%     | 100%     | 89%      | 0        | 0        | near_match   | 59d749e7452c...
Audio vol +8% (should match)                       | ✓      | 100%     | 100%     | 91%      | 0        | 0        | near_match   | 59d749e7452c...
Audio noise 10% (should match)                     | ✓      | 100%     | 100%     | 100%     | 0        | 0        | exact_match  | 59d749e7452c...
Audio vol -10% (should match)                      | ✓      | 100%     | 100%     | 87%      | 0        | 0        | near_match   | 59d749e7452c...
Audio vol +10% (should match)                      | ✓      | 100%     | 100%     | 91%      | 0        | 0        | near_match   | 59d749e7452c...
Audio noise 12% (should NOT match)                 | ✗      | 100%     | 100%     | 84%      | 0        | 0        | near_match   | 59d749e7452c...
Audio vol -12% (should NOT match)                  | ✗      | 100%     | 100%     | 89%      | 0        | 0        | near_match   | 59d749e7452c...
Audio vol +12% (should NOT match)                  | ✗      | 100%     | 100%     | 92%      | 0        | 0        | near_match   | 59d749e7452c...
Audio noise 14% (should NOT match)                 | ✗      | 100%     | 100%     | 59%      | 0        | 0        | near_match   | 59d749e7452c...
Audio vol -14% (should NOT match)                  | ✗      | 100%     | 100%     | 89%      | 0        | 0        | near_match   | 59d749e7452c...
Audio vol +14% (should NOT match)                  | ✗      | 100%     | 100%     | 87%      | 0        | 0        | near_match   | 59d749e7452c...
Audio noise 16% (should NOT match)                 | ✗      | 100%     | 100%     | -        | 0        | 0        | exact_match  | 59d749e7452c...
Audio vol -16% (should NOT match)                  | ✗      | 100%     | 100%     | 89%      | 0        | 0        | near_match   | 59d749e7452c...
Audio vol +16% (should NOT match)                  | ✗      | 100%     | 100%     | 87%      | 0        | 0        | near_match   | 59d749e7452c...
Audio noise 18% (should NOT match)                 | ✗      | 100%     | 100%     | -        | 0        | 0        | exact_match  | 59d749e7452c...
Audio vol -18% (should NOT match)                  | ✗      | 100%     | 100%     | 87%      | 0        | 0        | near_match   | 59d749e7452c...
Audio vol +18% (should NOT match)                  | ✗      | 100%     | 100%     | 92%      | 0        | 0        | near_match   | 59d749e7452c...
Audio noise 20% (should NOT match)                 | ✗      | 100%     | 100%     | 86%      | 0        | 0        | near_match   | 59d749e7452c...
Audio vol -20% (should NOT match)                  | ✗      | 100%     | 100%     | 80%      | 0        | 0        | near_match   | 59d749e7452c...
Audio vol +20% (should NOT match)                  | ✗      | 100%     | 100%     | 91%      | 0        | 0        | near_match   | 59d749e7452c...
Audio mono (should match)                          | ✓      | 100%     | 100%     | 100%     | 0        | 0        | exact_match  | 59d749e7452c...
------------------------------------------------------------------------------------------------------------------------------------------------------
OVERALL                                            | 74/145  | 51%

VIDEO_HAMMING_DISTANCE=28
AUDIO_HAMMING_DISTANCE=60
